ID;Matériau;Dimension;Caractéristique;Précision;Qté;Unité;PR. FO;Type FO;K FO;PV FO;h MO;Type MO;K MO;PV MO;PV.U. total;Prix total;F1_nom;F1_prix;F1_ref;F1_source;F2_nom;F2_prix;F2_ref;F2_source;F3_nom;F3_prix;F3_ref;F3_source;Temps (h);"Temps (1""/h)"
Tub.I4S.15;Inox 304L - Soudé;DN15;Tube;21,3x1,6;;ml;4,46;Tuy;1,15;5,129;;;;;;;Arcus;4,46;TS304L 1/2P-40S;https://www.arcusinox.com/shop/category/tubes-tubes-soudes-tubes-soudes-astm-92/products?attrib=2-3198&show_other_criteria=on;;;;;;;;;;
Tub.I4S.20;Inox 304L - Soudé;DN20;Tube;26,9x2;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.25;Inox 304L - Soudé;DN25;Tube;33,7x2;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.32;Inox 304L - Soudé;DN32;Tube;42,4x2;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.40;Inox 304L - Soudé;DN40;Tube;48,3x2;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.50;Inox 304L - Soudé;DN50;Tube;60,3x2;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.65;Inox 304L - Soudé;DN65;Tube;76,1x2;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.80;Inox 304L - Soudé;DN80;Tube;88,9x2;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.100;Inox 304L - Soudé;DN100;Tube;114,3x2;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.125;Inox 304L - Soudé;DN125;Tube;139,7x2;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.150;Inox 304L - Soudé;DN150;Tube;168,3x2;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.200;Inox 304L - Soudé;DN200;Tube;219,1x2;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.250;Inox 304L - Soudé;DN250;Tube;273,0x2;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.300;Inox 304L - Soudé;DN300;Tube;323,9x3;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.350;Inox 304L - Soudé;DN350;Tube;355,6x3;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.400;Inox 304L - Soudé;DN400;Tube;406,4x3;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.450;Inox 304L - Soudé;DN450;Tube;457,2x3;;ml;;;;;;;;;;;;;;;;;;;;;;;;
Tub.I4S.500;Inox 304L - Soudé;DN500;Tube;508,0x3;;ml;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.15;Inox 304L - Soudé;DN15;Coude 90°;21,3x1,6;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.20;Inox 304L - Soudé;DN20;Coude 90°;26,9x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.25;Inox 304L - Soudé;DN25;Coude 90°;33,7x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.32;Inox 304L - Soudé;DN32;Coude 90°;42,4x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.40;Inox 304L - Soudé;DN40;Coude 90°;48,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.50;Inox 304L - Soudé;DN50;Coude 90°;60,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.65;Inox 304L - Soudé;DN65;Coude 90°;76,1x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.80;Inox 304L - Soudé;DN80;Coude 90°;88,9x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.100;Inox 304L - Soudé;DN100;Coude 90°;114,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.125;Inox 304L - Soudé;DN125;Coude 90°;139,7x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.150;Inox 304L - Soudé;DN150;Coude 90°;168,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.200;Inox 304L - Soudé;DN200;Coude 90°;219,1x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.250;Inox 304L - Soudé;DN250;Coude 90°;273,0x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.300;Inox 304L - Soudé;DN300;Coude 90°;323,9x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.350;Inox 304L - Soudé;DN350;Coude 90°;355,6x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.400;Inox 304L - Soudé;DN400;Coude 90°;406,4x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.450;Inox 304L - Soudé;DN450;Coude 90°;457,2x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C90.I4S.500;Inox 304L - Soudé;DN500;Coude 90°;508,0x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.15;Inox 304L - Soudé;DN15;Coude 45°;21,3x1,6;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.20;Inox 304L - Soudé;DN20;Coude 45°;26,9x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.25;Inox 304L - Soudé;DN25;Coude 45°;33,7x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.32;Inox 304L - Soudé;DN32;Coude 45°;42,4x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.40;Inox 304L - Soudé;DN40;Coude 45°;48,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.50;Inox 304L - Soudé;DN50;Coude 45°;60,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.65;Inox 304L - Soudé;DN65;Coude 45°;76,1x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.80;Inox 304L - Soudé;DN80;Coude 45°;88,9x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.100;Inox 304L - Soudé;DN100;Coude 45°;114,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.125;Inox 304L - Soudé;DN125;Coude 45°;139,7x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.150;Inox 304L - Soudé;DN150;Coude 45°;168,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.200;Inox 304L - Soudé;DN200;Coude 45°;219,1x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.250;Inox 304L - Soudé;DN250;Coude 45°;273,0x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.300;Inox 304L - Soudé;DN300;Coude 45°;323,9x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.350;Inox 304L - Soudé;DN350;Coude 45°;355,6x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.400;Inox 304L - Soudé;DN400;Coude 45°;406,4x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.450;Inox 304L - Soudé;DN450;Coude 45°;457,2x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
C45.I4S.500;Inox 304L - Soudé;DN500;Coude 45°;508,0x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.15;Inox 304L - Soudé;DN15;Té droit;21,3x1,6;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.20;Inox 304L - Soudé;DN20;Té droit;26,9x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.25;Inox 304L - Soudé;DN25;Té droit;33,7x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.32;Inox 304L - Soudé;DN32;Té droit;42,4x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.40;Inox 304L - Soudé;DN40;Té droit;48,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.50;Inox 304L - Soudé;DN50;Té droit;60,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.65;Inox 304L - Soudé;DN65;Té droit;76,1x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.80;Inox 304L - Soudé;DN80;Té droit;88,9x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.100;Inox 304L - Soudé;DN100;Té droit;114,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.125;Inox 304L - Soudé;DN125;Té droit;139,7x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.150;Inox 304L - Soudé;DN150;Té droit;168,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.200;Inox 304L - Soudé;DN200;Té droit;219,1x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.250;Inox 304L - Soudé;DN250;Té droit;273,0x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.300;Inox 304L - Soudé;DN300;Té droit;323,9x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.350;Inox 304L - Soudé;DN350;Té droit;355,6x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.400;Inox 304L - Soudé;DN400;Té droit;406,4x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.450;Inox 304L - Soudé;DN450;Té droit;457,2x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéD.I4S.500;Inox 304L - Soudé;DN500;Té droit;508,0x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;Inox 304L - Soudé;DN15;Té réduit;21,3x1,6;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.20;Inox 304L - Soudé;DN20;Té réduit;26,9x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.25;Inox 304L - Soudé;DN25;Té réduit;33,7x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.32;Inox 304L - Soudé;DN32;Té réduit;42,4x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.40;Inox 304L - Soudé;DN40;Té réduit;48,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.50;Inox 304L - Soudé;DN50;Té réduit;60,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.65;Inox 304L - Soudé;DN65;Té réduit;76,1x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.80;Inox 304L - Soudé;DN80;Té réduit;88,9x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.100;Inox 304L - Soudé;DN100;Té réduit;114,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.125;Inox 304L - Soudé;DN125;Té réduit;139,7x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.150;Inox 304L - Soudé;DN150;Té réduit;168,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.200;Inox 304L - Soudé;DN200;Té réduit;219,1x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.250;Inox 304L - Soudé;DN250;Té réduit;273,0x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.300;Inox 304L - Soudé;DN300;Té réduit;323,9x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.350;Inox 304L - Soudé;DN350;Té réduit;355,6x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.400;Inox 304L - Soudé;DN400;Té réduit;406,4x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.450;Inox 304L - Soudé;DN450;Té réduit;457,2x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
TéR.I4S.500;Inox 304L - Soudé;DN500;Té réduit;508,0x3;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Red.I4S.15;Inox 304L - Soudé;DN15;Réduction;21,3x1,6;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Red.I4S.20;Inox 304L - Soudé;DN20;Réduction;26,9x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Red.I4S.25;Inox 304L - Soudé;DN25;Réduction;33,7x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Red.I4S.32;Inox 304L - Soudé;DN32;Réduction;42,4x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Red.I4S.40;Inox 304L - Soudé;DN40;Réduction;48,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
Red.I4S.50;Inox 304L - Soudé;DN50;Réduction;60,3x2;;pcs;;;;;;;;;;;;;;;;;;;;;;;;
